Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:30%, JEPQ:5%, SCHD:10%, SCHY:55%",53.0,35.6,26.3,11.3
"MSTY:30%, JEPQ:5%, SCHD:15%, SCHY:50%",52.3,35.0,26.3,11.4
"MSTY:30%, JEPQ:5%, SCHD:20%, SCHY:45%",51.7,34.4,26.2,11.5
"MSTY:30%, JEPQ:5%, SCHD:25%, SCHY:40%",51.1,33.8,26.2,11.6
"MSTY:30%, JEPQ:5%, SCHD:30%, SCHY:35%",50.5,33.2,26.2,11.7
"MSTY:30%, JEPQ:5%, SCHD:35%, SCHY:30%",49.9,32.5,26.2,11.8
"MSTY:30%, JEPQ:5%, SCHD:40%, SCHY:25%",49.2,31.9,26.3,11.9
"MSTY:30%, JEPQ:5%, SCHD:45%, SCHY:20%",48.6,31.3,26.3,12.0
"MSTY:30%, JEPQ:5%, SCHD:50%, SCHY:15%",48.0,30.7,26.4,12.1
"MSTY:30%, JEPQ:5%, SCHD:55%, SCHY:10%",47.4,30.1,26.5,12.2
"MSTY:30%, JEPQ:5%, SCHD:60%, SCHY:5%",46.8,29.4,26.5,12.2
"MSTY:30%, JEPQ:5%, SCHD:65%, SCHY:0%",46.1,28.8,26.7,12.3
"MSTY:30%, JEPQ:10%, SCHD:0%, SCHY:60%",53.8,36.4,26.4,11.1
"MSTY:30%, JEPQ:10%, SCHD:5%, SCHY:55%",53.2,35.8,26.3,11.2
"MSTY:30%, JEPQ:10%, SCHD:10%, SCHY:50%",52.5,35.2,26.3,11.3
"MSTY:30%, JEPQ:10%, SCHD:15%, SCHY:45%",51.9,34.6,26.2,11.4
"MSTY:30%, JEPQ:10%, SCHD:20%, SCHY:40%",51.3,34.0,26.2,11.5
"MSTY:30%, JEPQ:10%, SCHD:25%, SCHY:35%",50.7,33.4,26.2,11.6
"MSTY:30%, JEPQ:10%, SCHD:30%, SCHY:30%",50.1,32.7,26.2,11.7
"MSTY:30%, JEPQ:10%, SCHD:35%, SCHY:25%",49.4,32.1,26.3,11.8
"MSTY:30%, JEPQ:10%, SCHD:40%, SCHY:20%",48.8,31.5,26.3,11.9
"MSTY:30%, JEPQ:10%, SCHD:45%, SCHY:15%",48.2,30.9,26.4,12.0
"MSTY:30%, JEPQ:10%, SCHD:50%, SCHY:10%",47.6,30.3,26.4,12.0
"MSTY:30%, JEPQ:10%, SCHD:55%, SCHY:5%",47.0,29.6,26.5,12.1
"MSTY:30%, JEPQ:10%, SCHD:60%, SCHY:0%",46.3,29.0,26.6,12.2
"MSTY:30%, JEPQ:15%, SCHD:0%, SCHY:55%",53.4,36.0,26.4,11.1
"MSTY:30%, JEPQ:15%, SCHD:5%, SCHY:50%",52.7,35.4,26.3,11.2
"MSTY:30%, JEPQ:15%, SCHD:10%, SCHY:45%",52.1,34.8,26.3,11.3
"MSTY:30%, JEPQ:15%, SCHD:15%, SCHY:40%",51.5,34.2,26.3,11.4
"MSTY:30%, JEPQ:15%, SCHD:20%, SCHY:35%",50.9,33.6,26.2,11.5
"MSTY:30%, JEPQ:15%, SCHD:25%, SCHY:30%",50.3,32.9,26.3,11.6
"MSTY:30%, JEPQ:15%, SCHD:30%, SCHY:25%",49.6,32.3,26.3,11.7
"MSTY:30%, JEPQ:15%, SCHD:35%, SCHY:20%",49.0,31.7,26.3,11.8
"MSTY:30%, JEPQ:15%, SCHD:40%, SCHY:15%",48.4,31.1,26.4,11.8
"MSTY:30%, JEPQ:15%, SCHD:45%, SCHY:10%",47.8,30.5,26.5,11.9
"MSTY:30%, JEPQ:15%, SCHD:50%, SCHY:5%",47.2,29.8,26.5,12.0
"MSTY:30%, JEPQ:15%, SCHD:55%, SCHY:0%",46.5,29.2,26.6,12.1
"MSTY:30%, JEPQ:20%, SCHD:0%, SCHY:50%",52.9,35.6,26.4,11.1
"MSTY:30%, JEPQ:20%, SCHD:5%, SCHY:45%",52.3,35.0,26.3,11.2
"MSTY:30%, JEPQ:20%, SCHD:10%, SCHY:40%",51.7,34.4,26.3,11.3
"MSTY:30%, JEPQ:20%, SCHD:15%, SCHY:35%",51.1,33.7,26.3,11.4
"MSTY:30%, JEPQ:20%, SCHD:20%, SCHY:30%",50.5,33.1,26.3,11.5
"MSTY:30%, JEPQ:20%, SCHD:25%, SCHY:25%",49.8,32.5,26.3,11.6
"MSTY:30%, JEPQ:20%, SCHD:30%, SCHY:20%",49.2,31.9,26.4,11.6
"MSTY:30%, JEPQ:20%, SCHD:35%, SCHY:15%",48.6,31.3,26.4,11.7
"MSTY:30%, JEPQ:20%, SCHD:40%, SCHY:10%",48.0,30.6,26.5,11.8
"MSTY:30%, JEPQ:20%, SCHD:45%, SCHY:5%",47.4,30.0,26.6,11.9
"MSTY:30%, JEPQ:20%, SCHD:50%, SCHY:0%",46.7,29.4,26.7,12.0
"MSTY:30%, JEPQ:25%, SCHD:0%, SCHY:45%",52.5,35.2,26.4,11.1
"MSTY:30%, JEPQ:25%, SCHD:5%, SCHY:40%",51.9,34.6,26.4,11.2
"MSTY:30%, JEPQ:25%, SCHD:10%, SCHY:35%",51.3,33.9,26.3,11.3
"MSTY:30%, JEPQ:25%, SCHD:15%, SCHY:30%",50.7,33.3,26.4,11.4
"MSTY:30%, JEPQ:25%, SCHD:20%, SCHY:25%",50.0,32.7,26.4,11.4
"MSTY:30%, JEPQ:25%, SCHD:25%, SCHY:20%",49.4,32.1,26.4,11.5
"MSTY:30%, JEPQ:25%, SCHD:30%, SCHY:15%",48.8,31.5,26.5,11.6
"MSTY:30%, JEPQ:25%, SCHD:35%, SCHY:10%",48.2,30.8,26.5,11.7
"MSTY:30%, JEPQ:25%, SCHD:40%, SCHY:5%",47.6,30.2,26.6,11.8
"MSTY:30%, JEPQ:25%, SCHD:45%, SCHY:0%",46.9,29.6,26.7,11.9
"MSTY:30%, JEPQ:30%, SCHD:0%, SCHY:40%",52.1,34.8,26.4,11.1
"MSTY:30%, JEPQ:30%, SCHD:5%, SCHY:35%",51.5,34.1,26.4,11.1
"MSTY:30%, JEPQ:30%, SCHD:10%, SCHY:30%",50.9,33.5,26.4,11.2
"MSTY:30%, JEPQ:30%, SCHD:15%, SCHY:25%",50.2,32.9,26.4,11.3
"MSTY:30%, JEPQ:30%, SCHD:20%, SCHY:20%",49.6,32.3,26.5,11.4
"MSTY:30%, JEPQ:30%, SCHD:25%, SCHY:15%",49.0,31.7,26.5,11.5
"MSTY:30%, JEPQ:30%, SCHD:30%, SCHY:10%",48.4,31.0,26.6,11.6
"MSTY:30%, JEPQ:30%, SCHD:35%, SCHY:5%",47.8,30.4,26.7,11.7
"MSTY:30%, JEPQ:30%, SCHD:40%, SCHY:0%",47.1,29.8,26.8,11.8
"MSTY:30%, JEPQ:35%, SCHD:0%, SCHY:35%",51.7,34.3,26.5,11.0
"MSTY:30%, JEPQ:35%, SCHD:5%, SCHY:30%",51.1,33.7,26.5,11.1
"MSTY:30%, JEPQ:35%, SCHD:10%, SCHY:25%",50.4,33.1,26.5,11.2
"MSTY:30%, JEPQ:35%, SCHD:15%, SCHY:20%",49.8,32.5,26.6,11.3
"MSTY:30%, JEPQ:35%, SCHD:20%, SCHY:15%",49.2,31.9,26.6,11.4
"MSTY:30%, JEPQ:35%, SCHD:25%, SCHY:10%",48.6,31.2,26.7,11.5
"MSTY:30%, JEPQ:35%, SCHD:30%, SCHY:5%",48.0,30.6,26.8,11.6
"MSTY:30%, JEPQ:35%, SCHD:35%, SCHY:0%",47.3,30.0,26.8,11.7
"MSTY:30%, JEPQ:40%, SCHD:0%, SCHY:30%",51.2,33.9,26.6,11.0
"MSTY:30%, JEPQ:40%, SCHD:5%, SCHY:25%",50.6,33.3,26.7,11.1
"MSTY:30%, JEPQ:40%, SCHD:10%, SCHY:20%",50.0,32.7,26.7,11.2
"MSTY:30%, JEPQ:40%, SCHD:15%, SCHY:15%",49.4,32.1,26.7,11.3
"MSTY:30%, JEPQ:40%, SCHD:20%, SCHY:10%",48.8,31.4,26.8,11.4
"MSTY:30%, JEPQ:40%, SCHD:25%, SCHY:5%",48.1,30.8,26.9,11.5
"MSTY:30%, JEPQ:40%, SCHD:30%, SCHY:0%",47.5,30.2,26.9,11.6
"MSTY:30%, JEPQ:45%, SCHD:0%, SCHY:25%",50.8,33.5,26.8,11.0
"MSTY:30%, JEPQ:45%, SCHD:5%, SCHY:20%",50.2,32.9,26.8,11.1
"MSTY:30%, JEPQ:45%, SCHD:10%, SCHY:15%",49.6,32.3,26.8,11.2
"MSTY:30%, JEPQ:45%, SCHD:15%, SCHY:10%",49.0,31.6,26.9,11.3
"MSTY:30%, JEPQ:45%, SCHD:20%, SCHY:5%",48.3,31.0,27.0,11.4
"MSTY:30%, JEPQ:45%, SCHD:25%, SCHY:0%",47.7,30.4,27.1,11.5
"MSTY:30%, JEPQ:50%, SCHD:0%, SCHY:20%",50.4,33.1,27.0,11.0
"MSTY:30%, JEPQ:50%, SCHD:5%, SCHY:15%",49.8,32.5,27.0,11.1
"MSTY:30%, JEPQ:50%, SCHD:10%, SCHY:10%",49.2,31.8,27.0,11.2
"MSTY:30%, JEPQ:50%, SCHD:15%, SCHY:5%",48.5,31.2,27.1,11.3
"MSTY:30%, JEPQ:50%, SCHD:20%, SCHY:0%",47.9,30.6,27.2,11.3
"MSTY:30%, JEPQ:55%, SCHD:0%, SCHY:15%",50.0,32.7,27.1,11.0
"MSTY:30%, JEPQ:55%, SCHD:5%, SCHY:10%",49.4,32.0,27.2,11.1
"MSTY:30%, JEPQ:55%, SCHD:10%, SCHY:5%",48.7,31.4,27.3,11.1
"MSTY:30%, JEPQ:55%, SCHD:15%, SCHY:0%",48.1,30.8,27.3,11.4
"MSTY:30%, JEPQ:60%, SCHD:0%, SCHY:10%",49.6,32.2,27.4,10.9
"MSTY:30%, JEPQ:60%, SCHD:5%, SCHY:5%",48.9,31.6,27.4,11.2
"MSTY:30%, JEPQ:60%, SCHD:10%, SCHY:0%",48.3,31.0,27.5,11.5
"MSTY:30%, JEPQ:65%, SCHD:0%, SCHY:5%",49.1,31.8,27.6,11.4
"MSTY:30%, JEPQ:65%, SCHD:5%, SCHY:0%",48.5,31.2,27.7,11.7
"MSTY:30%, JEPQ:70%, SCHD:0%, SCHY:0%",48.7,31.4,27.9,11.8
"MSTY:35%, JEPQ:0%, SCHD:0%, SCHY:65%",60.6,43.3,29.7,12.6
"MSTY:35%, JEPQ:0%, SCHD:5%, SCHY:60%",60.0,42.7,29.6,12.7
"MSTY:35%, JEPQ:0%, SCHD:10%, SCHY:55%",59.4,42.1,29.6,12.8
"MSTY:35%, JEPQ:0%, SCHD:15%, SCHY:50%",58.8,41.4,29.5,12.8
"MSTY:35%, JEPQ:0%, SCHD:20%, SCHY:45%",58.2,40.8,29.5,12.9
"MSTY:35%, JEPQ:0%, SCHD:25%, SCHY:40%",57.5,40.2,29.5,13.0
"MSTY:35%, JEPQ:0%, SCHD:30%, SCHY:35%",56.9,39.6,29.5,13.1
"MSTY:35%, JEPQ:0%, SCHD:35%, SCHY:30%",56.3,39.0,29.5,13.2
"MSTY:35%, JEPQ:0%, SCHD:40%, SCHY:25%",55.7,38.4,29.5,13.2
"MSTY:35%, JEPQ:0%, SCHD:45%, SCHY:20%",55.1,37.7,29.6,13.3
"MSTY:35%, JEPQ:0%, SCHD:50%, SCHY:15%",54.5,37.1,29.6,13.4
"MSTY:35%, JEPQ:0%, SCHD:55%, SCHY:10%",53.8,36.5,29.7,13.5
"MSTY:35%, JEPQ:0%, SCHD:60%, SCHY:5%",53.2,35.9,29.7,13.6
"MSTY:35%, JEPQ:0%, SCHD:65%, SCHY:0%",52.6,35.3,29.8,13.6
"MSTY:35%, JEPQ:5%, SCHD:0%, SCHY:60%",60.2,42.9,29.7,12.6
"MSTY:35%, JEPQ:5%, SCHD:5%, SCHY:55%",59.6,42.3,29.6,12.6
"MSTY:35%, JEPQ:5%, SCHD:10%, SCHY:50%",59.0,41.6,29.6,12.7
"MSTY:35%, JEPQ:5%, SCHD:15%, SCHY:45%",58.4,41.0,29.5,12.8
"MSTY:35%, JEPQ:5%, SCHD:20%, SCHY:40%",57.7,40.4,29.5,12.9
"MSTY:35%, JEPQ:5%, SCHD:25%, SCHY:35%",57.1,39.8,29.5,13.0
"MSTY:35%, JEPQ:5%, SCHD:30%, SCHY:30%",56.5,39.2,29.5,13.1
"MSTY:35%, JEPQ:5%, SCHD:35%, SCHY:25%",55.9,38.6,29.5,13.1
"MSTY:35%, JEPQ:5%, SCHD:40%, SCHY:20%",55.3,37.9,29.6,13.2
"MSTY:35%, JEPQ:5%, SCHD:45%, SCHY:15%",54.7,37.3,29.6,13.3
"MSTY:35%, JEPQ:5%, SCHD:50%, SCHY:10%",54.0,36.7,29.7,13.4
"MSTY:35%, JEPQ:5%, SCHD:55%, SCHY:5%",53.4,36.1,29.7,13.5
"MSTY:35%, JEPQ:5%, SCHD:60%, SCHY:0%",52.8,35.5,29.8,13.5
"MSTY:35%, JEPQ:10%, SCHD:0%, SCHY:55%",59.8,42.5,29.6,12.5
"MSTY:35%, JEPQ:10%, SCHD:5%, SCHY:50%",59.2,41.8,29.6,12.6
"MSTY:35%, JEPQ:10%, SCHD:10%, SCHY:45%",58.6,41.2,29.5,12.7
"MSTY:35%, JEPQ:10%, SCHD:15%, SCHY:40%",57.9,40.6,29.5,12.8
"MSTY:35%, JEPQ:10%, SCHD:20%, SCHY:35%",57.3,40.0,29.5,12.9
"MSTY:35%, JEPQ:10%, SCHD:25%, SCHY:30%",56.7,39.4,29.5,13.0
"MSTY:35%, JEPQ:10%, SCHD:30%, SCHY:25%",56.1,38.8,29.5,13.0
"MSTY:35%, JEPQ:10%, SCHD:35%, SCHY:20%",55.5,38.1,29.6,13.1
"MSTY:35%, JEPQ:10%, SCHD:40%, SCHY:15%",54.8,37.5,29.6,13.2
"MSTY:35%, JEPQ:10%, SCHD:45%, SCHY:10%",54.2,36.9,29.7,13.3
"MSTY:35%, JEPQ:10%, SCHD:50%, SCHY:5%",53.6,36.3,29.8,13.4
"MSTY:35%, JEPQ:10%, SCHD:55%, SCHY:0%",53.0,35.7,29.8,13.4
"MSTY:35%, JEPQ:15%, SCHD:0%, SCHY:50%",59.4,42.0,29.6,12.5
"MSTY:35%, JEPQ:15%, SCHD:5%, SCHY:45%",58.8,41.4,29.6,12.6
"MSTY:35%, JEPQ:15%, SCHD:10%, SCHY:40%",58.1,40.8,29.6,12.7
"MSTY:35%, JEPQ:15%, SCHD:15%, SCHY:35%",57.5,40.2,29.6,12.8
"MSTY:35%, JEPQ:15%, SCHD:20%, SCHY:30%",56.9,39.6,29.6,12.8
"MSTY:35%, JEPQ:15%, SCHD:25%, SCHY:25%",56.3,39.0,29.6,12.9
"MSTY:35%, JEPQ:15%, SCHD:30%, SCHY:20%",55.7,38.3,29.6,13.0
"MSTY:35%, JEPQ:15%, SCHD:35%, SCHY:15%",55.0,37.7,29.7,13.1
"MSTY:35%, JEPQ:15%, SCHD:40%, SCHY:10%",54.4,37.1,29.7,13.2
"MSTY:35%, JEPQ:15%, SCHD:45%, SCHY:5%",53.8,36.5,29.8,13.2
"MSTY:35%, JEPQ:15%, SCHD:50%, SCHY:0%",53.2,35.9,29.9,13.3
"MSTY:35%, JEPQ:20%, SCHD:0%, SCHY:45%",58.9,41.6,29.7,12.5
"MSTY:35%, JEPQ:20%, SCHD:5%, SCHY:40%",58.3,41.0,29.6,12.6
"MSTY:35%, JEPQ:20%, SCHD:10%, SCHY:35%",57.7,40.4,29.6,12.7
"MSTY:35%, JEPQ:20%, SCHD:15%, SCHY:30%",57.1,39.8,29.6,12.7
"MSTY:35%, JEPQ:20%, SCHD:20%, SCHY:25%",56.5,39.1,29.6,12.8
"MSTY:35%, JEPQ:20%, SCHD:25%, SCHY:20%",55.9,38.5,29.7,12.9
"MSTY:35%, JEPQ:20%, SCHD:30%, SCHY:15%",55.2,37.9,29.7,13.0
"MSTY:35%, JEPQ:20%, SCHD:35%, SCHY:10%",54.6,37.3,29.8,13.1
"MSTY:35%, JEPQ:20%, SCHD:40%, SCHY:5%",54.0,36.7,29.8,13.1
"MSTY:35%, JEPQ:20%, SCHD:45%, SCHY:0%",53.4,36.1,29.9,13.2
"MSTY:35%, JEPQ:25%, SCHD:0%, SCHY:40%",58.5,41.2,29.7,12.5
"MSTY:35%, JEPQ:25%, SCHD:5%, SCHY:35%",57.9,40.6,29.7,12.5
"MSTY:35%, JEPQ:25%, SCHD:10%, SCHY:30%",57.3,40.0,29.7,12.6
"MSTY:35%, JEPQ:25%, SCHD:15%, SCHY:25%",56.7,39.3,29.7,12.7
"MSTY:35%, JEPQ:25%, SCHD:20%, SCHY:20%",56.1,38.7,29.7,12.8
"MSTY:35%, JEPQ:25%, SCHD:25%, SCHY:15%",55.4,38.1,29.8,12.9
"MSTY:35%, JEPQ:25%, SCHD:30%, SCHY:10%",54.8,37.5,29.8,13.0
"MSTY:35%, JEPQ:25%, SCHD:35%, SCHY:5%",54.2,36.9,29.9,13.0
"MSTY:35%, JEPQ:25%, SCHD:40%, SCHY:0%",53.6,36.3,30.0,13.1
"MSTY:35%, JEPQ:30%, SCHD:0%, SCHY:35%",58.1,40.8,29.8,12.4
"MSTY:35%, JEPQ:30%, SCHD:5%, SCHY:30%",57.5,40.2,29.8,12.5
"MSTY:35%, JEPQ:30%, SCHD:10%, SCHY:25%",56.9,39.5,29.8,12.6
"MSTY:35%, JEPQ:30%, SCHD:15%, SCHY:20%",56.3,38.9,29.8,12.7
"MSTY:35%, JEPQ:30%, SCHD:20%, SCHY:15%",55.6,38.3,29.8,12.8
"MSTY:35%, JEPQ:30%, SCHD:25%, SCHY:10%",55.0,37.7,29.9,12.9
"MSTY:35%, JEPQ:30%, SCHD:30%, SCHY:5%",54.4,37.1,30.0,12.9
"MSTY:35%, JEPQ:30%, SCHD:35%, SCHY:0%",53.8,36.5,30.0,13.0
"MSTY:35%, JEPQ:35%, SCHD:0%, SCHY:30%",57.7,40.4,29.9,12.4
"MSTY:35%, JEPQ:35%, SCHD:5%, SCHY:25%",57.1,39.7,29.9,12.5
"MSTY:35%, JEPQ:35%, SCHD:10%, SCHY:20%",56.5,39.1,29.9,12.6
"MSTY:35%, JEPQ:35%, SCHD:15%, SCHY:15%",55.8,38.5,29.9,12.7
"MSTY:35%, JEPQ:35%, SCHD:20%, SCHY:10%",55.2,37.9,30.0,12.7
"MSTY:35%, JEPQ:35%, SCHD:25%, SCHY:5%",54.6,37.3,30.1,12.8
"MSTY:35%, JEPQ:35%, SCHD:30%, SCHY:0%",54.0,36.6,30.1,12.9
"MSTY:35%, JEPQ:40%, SCHD:0%, SCHY:25%",57.3,39.9,30.0,12.4
"MSTY:35%, JEPQ:40%, SCHD:5%, SCHY:20%",56.6,39.3,30.0,12.5
"MSTY:35%, JEPQ:40%, SCHD:10%, SCHY:15%",56.0,38.7,30.1,12.6
"MSTY:35%, JEPQ:40%, SCHD:15%, SCHY:10%",55.4,38.1,30.1,12.6
"MSTY:35%, JEPQ:40%, SCHD:20%, SCHY:5%",54.8,37.5,30.2,12.7
"MSTY:35%, JEPQ:40%, SCHD:25%, SCHY:0%",54.2,36.8,30.2,12.8
"MSTY:35%, JEPQ:45%, SCHD:0%, SCHY:20%",56.8,39.5,30.2,12.4
"MSTY:35%, JEPQ:45%, SCHD:5%, SCHY:15%",56.2,38.9,30.2,12.5
"MSTY:35%, JEPQ:45%, SCHD:10%, SCHY:10%",55.6,38.3,30.2,12.5
"MSTY:35%, JEPQ:45%, SCHD:15%, SCHY:5%",55.0,37.7,30.3,12.6
"MSTY:35%, JEPQ:45%, SCHD:20%, SCHY:0%",54.4,37.0,30.4,12.7
"MSTY:35%, JEPQ:50%, SCHD:0%, SCHY:15%",56.4,39.1,30.3,12.3
"MSTY:35%, JEPQ:50%, SCHD:5%, SCHY:10%",55.8,38.5,30.4,12.4
"MSTY:35%, JEPQ:50%, SCHD:10%, SCHY:5%",55.2,37.9,30.4,12.5
"MSTY:35%, JEPQ:50%, SCHD:15%, SCHY:0%",54.6,37.2,30.5,12.6
"MSTY:35%, JEPQ:55%, SCHD:0%, SCHY:10%",56.0,38.7,30.5,12.3
"MSTY:35%, JEPQ:55%, SCHD:5%, SCHY:5%",55.4,38.1,30.6,12.4
"MSTY:35%, JEPQ:55%, SCHD:10%, SCHY:0%",54.8,37.4,30.6,12.5
"MSTY:35%, JEPQ:60%, SCHD:0%, SCHY:5%",55.6,38.3,30.7,12.3
"MSTY:35%, JEPQ:60%, SCHD:5%, SCHY:0%",55.0,37.6,30.8,12.4
"MSTY:35%, JEPQ:65%, SCHD:0%, SCHY:0%",55.2,37.8,31.0,12.4
"MSTY:40%, JEPQ:0%, SCHD:0%, SCHY:60%",66.6,49.3,32.8,13.9
"MSTY:40%, JEPQ:0%, SCHD:5%, SCHY:55%",66.0,48.7,32.7,13.9
"MSTY:40%, JEPQ:0%, SCHD:10%, SCHY:50%",65.4,48.1,32.7,14.0
"MSTY:40%, JEPQ:0%, SCHD:15%, SCHY:45%",64.8,47.4,32.7,14.1
"MSTY:40%, JEPQ:0%, SCHD:20%, SCHY:40%",64.2,46.8,32.6,14.2
"MSTY:40%, JEPQ:0%, SCHD:25%, SCHY:35%",63.5,46.2,32.6,14.2
"MSTY:40%, JEPQ:0%, SCHD:30%, SCHY:30%",62.9,45.6,32.6,14.3
"MSTY:40%, JEPQ:0%, SCHD:35%, SCHY:25%",62.3,45.0,32.7,14.4
"MSTY:40%, JEPQ:0%, SCHD:40%, SCHY:20%",61.7,44.4,32.7,14.5
"MSTY:40%, JEPQ:0%, SCHD:45%, SCHY:15%",61.1,43.7,32.7,14.5
"MSTY:40%, JEPQ:0%, SCHD:50%, SCHY:10%",60.5,43.1,32.8,14.6
"MSTY:40%, JEPQ:0%, SCHD:55%, SCHY:5%",59.8,42.5,32.8,14.7
"MSTY:40%, JEPQ:0%, SCHD:60%, SCHY:0%",59.2,41.9,32.9,14.8
"MSTY:40%, JEPQ:5%, SCHD:0%, SCHY:55%",66.2,48.9,32.8,13.8
"MSTY:40%, JEPQ:5%, SCHD:5%, SCHY:50%",65.6,48.3,32.7,13.9
"MSTY:40%, JEPQ:5%, SCHD:10%, SCHY:45%",65.0,47.6,32.7,14.0
"MSTY:40%, JEPQ:5%, SCHD:15%, SCHY:40%",64.4,47.0,32.7,14.1
"MSTY:40%, JEPQ:5%, SCHD:20%, SCHY:35%",63.7,46.4,32.7,14.1
"MSTY:40%, JEPQ:5%, SCHD:25%, SCHY:30%",63.1,45.8,32.7,14.2
"MSTY:40%, JEPQ:5%, SCHD:30%, SCHY:25%",62.5,45.2,32.7,14.3
"MSTY:40%, JEPQ:5%, SCHD:35%, SCHY:20%",61.9,44.6,32.7,14.4
"MSTY:40%, JEPQ:5%, SCHD:40%, SCHY:15%",61.3,43.9,32.7,14.4
"MSTY:40%, JEPQ:5%, SCHD:45%, SCHY:10%",60.7,43.3,32.8,14.5
"MSTY:40%, JEPQ:5%, SCHD:50%, SCHY:5%",60.0,42.7,32.8,14.6
"MSTY:40%, JEPQ:5%, SCHD:55%, SCHY:0%",59.4,42.1,32.9,14.7
"MSTY:40%, JEPQ:10%, SCHD:0%, SCHY:50%",65.8,48.4,32.8,13.8
"MSTY:40%, JEPQ:10%, SCHD:5%, SCHY:45%",65.2,47.8,32.7,13.9
"MSTY:40%, JEPQ:10%, SCHD:10%, SCHY:40%",64.5,47.2,32.7,14.0
"MSTY:40%, JEPQ:10%, SCHD:15%, SCHY:35%",63.9,46.6,32.7,14.0
"MSTY:40%, JEPQ:10%, SCHD:20%, SCHY:30%",63.3,46.0,32.7,14.1
"MSTY:40%, JEPQ:10%, SCHD:25%, SCHY:25%",62.7,45.4,32.7,14.2
"MSTY:40%, JEPQ:10%, SCHD:30%, SCHY:20%",62.1,44.8,32.7,14.3
"MSTY:40%, JEPQ:10%, SCHD:35%, SCHY:15%",61.5,44.1,32.8,14.3
"MSTY:40%, JEPQ:10%, SCHD:40%, SCHY:10%",60.9,43.5,32.8,14.4
"MSTY:40%, JEPQ:10%, SCHD:45%, SCHY:5%",60.2,42.9,32.9,14.5
"MSTY:40%, JEPQ:10%, SCHD:50%, SCHY:0%",59.6,42.3,33.0,14.6
"MSTY:40%, JEPQ:15%, SCHD:0%, SCHY:45%",65.4,48.0,32.8,13.8
"MSTY:40%, JEPQ:15%, SCHD:5%, SCHY:40%",64.7,47.4,32.8,13.9
"MSTY:40%, JEPQ:15%, SCHD:10%, SCHY:35%",64.1,46.8,32.8,13.9
"MSTY:40%, JEPQ:15%, SCHD:15%, SCHY:30%",63.5,46.2,32.8,14.0
"MSTY:40%, JEPQ:15%, SCHD:20%, SCHY:25%",62.9,45.6,32.8,14.1
"MSTY:40%, JEPQ:15%, SCHD:25%, SCHY:20%",62.3,45.0,32.8,14.2
"MSTY:40%, JEPQ:15%, SCHD:30%, SCHY:15%",61.7,44.3,32.8,14.2
"MSTY:40%, JEPQ:15%, SCHD:35%, SCHY:10%",61.0,43.7,32.9,14.3
"MSTY:40%, JEPQ:15%, SCHD:40%, SCHY:5%",60.4,43.1,32.9,14.4
"MSTY:40%, JEPQ:15%, SCHD:45%, SCHY:0%",59.8,42.5,33.0,14.5
"MSTY:40%, JEPQ:20%, SCHD:0%, SCHY:40%",64.9,47.6,32.8,13.8
"MSTY:40%, JEPQ:20%, SCHD:5%, SCHY:35%",64.3,47.0,32.8,13.8
"MSTY:40%, JEPQ:20%, SCHD:10%, SCHY:30%",63.7,46.4,32.8,13.9
"MSTY:40%, JEPQ:20%, SCHD:15%, SCHY:25%",63.1,45.8,32.8,14.0
"MSTY:40%, JEPQ:20%, SCHD:20%, SCHY:20%",62.5,45.1,32.9,14.1
"MSTY:40%, JEPQ:20%, SCHD:25%, SCHY:15%",61.9,44.5,32.9,14.1
"MSTY:40%, JEPQ:20%, SCHD:30%, SCHY:10%",61.2,43.9,32.9,14.2
"MSTY:40%, JEPQ:20%, SCHD:35%, SCHY:5%",60.6,43.3,33.0,14.3
"MSTY:40%, JEPQ:20%, SCHD:40%, SCHY:0%",60.0,42.7,33.0,14.4
"MSTY:40%, JEPQ:25%, SCHD:0%, SCHY:35%",64.5,47.2,32.9,13.7
"MSTY:40%, JEPQ:25%, SCHD:5%, SCHY:30%",63.9,46.6,32.9,13.8
"MSTY:40%, JEPQ:25%, SCHD:10%, SCHY:25%",63.3,46.0,32.9,13.9
"MSTY:40%, JEPQ:25%, SCHD:15%, SCHY:20%",62.7,45.3,32.9,14.0
"MSTY:40%, JEPQ:25%, SCHD:20%, SCHY:15%",62.1,44.7,33.0,14.0
"MSTY:40%, JEPQ:25%, SCHD:25%, SCHY:10%",61.4,44.1,33.0,14.1
"MSTY:40%, JEPQ:25%, SCHD:30%, SCHY:5%",60.8,43.5,33.1,14.2
"MSTY:40%, JEPQ:25%, SCHD:35%, SCHY:0%",60.2,42.9,33.1,14.2
"MSTY:40%, JEPQ:30%, SCHD:0%, SCHY:30%",64.1,46.8,33.0,13.7
"MSTY:40%, JEPQ:30%, SCHD:5%, SCHY:25%",63.5,46.2,33.0,13.8
"MSTY:40%, JEPQ:30%, SCHD:10%, SCHY:20%",62.9,45.5,33.0,13.9
"MSTY:40%, JEPQ:30%, SCHD:15%, SCHY:15%",62.3,44.9,33.1,13.9
"MSTY:40%, JEPQ:30%, SCHD:20%, SCHY:10%",61.6,44.3,33.1,14.0
"MSTY:40%, JEPQ:30%, SCHD:25%, SCHY:5%",61.0,43.7,33.1,14.1
"MSTY:40%, JEPQ:30%, SCHD:30%, SCHY:0%",60.4,43.1,33.2,14.1
"MSTY:40%, JEPQ:35%, SCHD:0%, SCHY:25%",63.7,46.4,33.1,13.7
